part_id,input,net_score,opinion_frames_t2,fact_frames_t2,opinion_frames,fact_frames
,candidates are unqualified,0,0,0,,
,"i think both candidates have made mistakes,",1,1,0,"{""match"":""i think"",""label"":""op1""}",
,"i think both candidates have made mistakes,",1,1,0,"{""match"":""i think"",""label"":""op1""}",
,candidates have made,0,0,0,,
,trump is far,-1,0,1,,"{""match"":""trump is"",""label"":""fp6""}"
,I voted early and did not vote for either of them,0,0,0,,
,did not vote,0,0,0,,
,system is ridiculous and undemocratic,0,0,0,,
,colloquially I could say crazy,0,0,0,,
,Hillary is intelligent if flawed but the better leader,-1,0,1,,"{""match"":""Hillary is"",""label"":""fp6""}"
,I Think both are very deeply flawed and think both will have issues as president,1,1,0,"{""match"":""i think"",""label"":""op1""}",
,both will have,0,0,0,,
,I Think Clinton has a bad history of lying and while I do not agree with most of Trump he does tell the truth,2,2,0,"{""match"":""i think"",""label"":""op1""}, {""match"":""i do not agree"",""label"":""op1""}",
,Clinton has a bad history of lying,-1,0,1,,"{""match"":""Clinton has"",""label"":""fp6""}"
,while I do not agree,1,1,0,"{""match"":""i do not agree"",""label"":""op1""}",
,he does tell the,-1,0,1,,"{""match"":""he does "",""label"":""fp7""}"
,I think this is a scary election,1,1,0,"{""match"":""i think"",""label"":""op1""}",
,I think this is a scary election,1,1,0,"{""match"":""i think"",""label"":""op1""}",
,this is a scary,0,0,0,,